Unnamed: 0,Artist,Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Stream,Duplicated,Kept
0,Gorillaz,Feel Good Inc.,0.818,0.705,6.0,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,222640.0,693555221.0,1040234854.0,False,True
1,Gorillaz,Rhinestone Eyes,0.676,0.703,8.0,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,200173.0,72011645.0,310083733.0,False,True
2,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),0.695,0.923,1.0,-3.93,0.0522,0.0425,0.0469,0.116,0.551,108.014,215150.0,8435055.0,63063467.0,False,True
3,Gorillaz,On Melancholy Hill,0.689,0.739,2.0,-5.81,0.026,1.51e-05,0.509,0.064,0.578,120.423,233867.0,211754952.0,434663559.0,False,True
4,Gorillaz,Clint Eastwood,0.663,0.694,10.0,-8.627,0.171,0.0253,0.0,0.0698,0.525,167.953,340920.0,618480958.0,617259738.0,False,True
5,Gorillaz,DARE,0.76,0.891,11.0,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,245000.0,259021161.0,323850327.0,False,True
6,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,0.716,0.897,4.0,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,274142.0,451996.0,10666154.0,False,True
7,Gorillaz,She's My Collar (feat. Kali Uchis),0.726,0.815,11.0,-5.886,0.0313,0.00799,0.081,0.112,0.462,140.158,209560.0,1010982.0,159605929.0,False,True
8,Gorillaz,Cracker Island (feat. Thundercat),0.741,0.913,2.0,-3.34,0.0465,0.00343,0.103,0.325,0.643,120.012,213750.0,24459820.0,42671901.0,False,True
9,Gorillaz,Dirty Harry,0.625,0.877,10.0,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,230426.0,154761056.0,191074713.0,False,True
10,Red Hot Chili Peppers,Californication,0.592,0.767,9.0,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,329733.0,1018811259.0,1055738398.0,False,True
11,Red Hot Chili Peppers,Under the Bridge,0.559,0.345,4.0,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307.0,246687714.0,1061750522.0,False,True
12,Red Hot Chili Peppers,Can't Stop,0.618,0.938,9.0,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,269000.0,336635759.0,866464951.0,False,True
13,Red Hot Chili Peppers,Scar Tissue,0.595,0.717,0.0,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907.0,435121530.0,613838674.0,False,True
14,Red Hot Chili Peppers,Otherside,0.458,0.795,0.0,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373.0,673528656.0,732774515.0,False,True
15,Red Hot Chili Peppers,Snow (Hey Oh),0.427,0.9,11.0,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,334667.0,320871237.0,860722316.0,False,True
16,Red Hot Chili Peppers,Dani California,0.556,0.913,0.0,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282160.0,324228662.0,550067391.0,False,True
17,Red Hot Chili Peppers,By the Way,0.451,0.97,0.0,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,216933.0,179005296.0,367485508.0,False,True
18,Red Hot Chili Peppers,Give It Away,0.666,0.936,7.0,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,282907.0,86637926.0,301947159.0,False,True
19,Red Hot Chili Peppers,Dark Necessities,0.7,0.742,5.0,-6.777,0.0716,0.0722,0.0199,0.11,0.197,91.959,302000.0,440037964.0,385677873.0,False,True
20,50 Cent,In Da Club,0.902,0.72,6.0,-2.776,0.347,0.26,0.0,0.0749,0.805,90.059,193467.0,1682616458.0,1041736808.0,False,True
21,50 Cent,Candy Shop,0.614,0.574,11.0,-7.961,0.466,0.0253,3.2e-05,0.38,0.755,125.173,209107.0,838974650.0,701248893.0,False,True
22,50 Cent,Just A Lil Bit,0.489,0.692,1.0,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946,237707.0,476133463.0,395155110.0,False,True
23,50 Cent,P.I.M.P.,0.7,0.758,10.0,-3.012,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,249467.0,572659065.0,541728561.0,False,True
24,50 Cent,Many Men (Wish Death),0.653,0.826,6.0,-2.93,0.354,0.0153,0.00146,0.131,0.416,108.52,256227.0,441155628.0,332175400.0,False,True
25,50 Cent,Disco Inferno,0.925,0.659,3.0,-4.763,0.231,0.206,7.88e-05,0.279,0.71,97.018,214227.0,39825951.0,202477187.0,False,True
26,50 Cent,21 Questions,0.576,0.807,6.0,-3.908,0.317,0.353,0.000363,0.0512,0.908,90.012,224427.0,503248572.0,446003044.0,False,True
27,50 Cent,Is This Love ('09) (feat. 50 Cent),0.853,0.776,8.0,-4.221,0.261,0.0714,0.0,0.181,0.659,94.028,212013.0,5289821.0,28529840.0,False,True
28,50 Cent,If I Can't,0.892,0.631,11.0,-2.522,0.302,0.244,0.0,0.0235,0.838,93.975,196640.0,46096.0,210473579.0,False,True
29,50 Cent,Best Friend - Remix,0.545,0.64,10.0,-3.529,0.308,0.368,0.0,0.111,0.574,181.733,254493.0,291023.0,160037992.0,False,True
33,Metallica,Whiskey In The Jar,0.511,0.972,10.0,-3.751,0.0413,5.36e-06,0.00101,0.19,0.532,132.97,304893.0,107553434.0,327681785.0,False,True
37,Metallica,Lux Æterna,0.386,0.996,11.0,-2.96,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,205680.0,14937918.0,20061385.0,False,True
39,Metallica,Screaming Suicide,0.425,0.972,4.0,-3.448,0.045,2.42e-05,0.0202,0.239,0.282,101.125,330453.0,4317758.0,3905429.0,False,True
40,Coldplay,Yellow,0.429,0.661,11.0,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773.0,832532409.0,1483622308.0,False,True
41,Coldplay,Viva La Vida,0.486,0.617,5.0,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373.0,789581468.0,1325575712.0,False,True
42,Coldplay,Sparks,0.371,0.268,1.0,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,227093.0,73201019.0,475353044.0,False,True
43,Coldplay,Something Just Like This,0.617,0.635,11.0,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0,2118018686.0,2030825694.0,False,True
44,Coldplay,The Scientist,0.557,0.442,5.0,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600.0,1082588109.0,1465980600.0,False,True
45,Coldplay,A Sky Full of Stars,0.545,0.675,6.0,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867.0,786404613.0,1021782403.0,False,True
46,Coldplay,Paradise,0.449,0.585,5.0,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,278719.0,1665814269.0,927288329.0,False,True
47,Coldplay,Hymn for the Weekend,0.491,0.693,0.0,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267.0,1828242112.0,1049654852.0,False,True
48,Coldplay,My Universe,0.573,0.711,1.0,-6.268,0.0406,0.0114,0.0,0.328,0.47,105.006,226198.0,254655970.0,883224238.0,False,True
49,Coldplay,Fix You,0.209,0.417,3.0,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,295533.0,566239229.0,1115171056.0,False,True
50,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0.794,0.811,6.0,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413.0,32310867.0,844698895.0,False,True
51,Daft Punk,One More Time,0.613,0.697,2.0,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,320357.0,432177586.0,471747761.0,False,True
52,Daft Punk,Instant Crush (feat. Julian Casablancas),0.775,0.585,10.0,-9.516,0.0271,0.0422,0.619,0.077,0.518,109.942,337560.0,606828966.0,460589724.0,False,True
53,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),0.81,0.793,6.0,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,369627.0,32310867.0,400304719.0,False,True
54,Daft Punk,Around the World,0.956,0.795,7.0,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,429533.0,38218353.0,293417547.0,False,True
55,Daft Punk,"Harder, Better, Faster, Stronger",0.817,0.716,6.0,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,224693.0,121308880.0,292668007.0,False,True
56,Daft Punk,Something About Us,0.875,0.475,9.0,-12.673,0.0986,0.44,0.72,0.046,0.384,99.958,232667.0,77464307.0,185381876.0,False,True
57,Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),0.832,0.659,10.0,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163,353893.0,195983803.0,274711166.0,False,True
58,Daft Punk,Veridis Quo,0.605,0.687,9.0,-13.928,0.045,0.479,0.949,0.104,0.12,106.896,345187.0,23984070.0,90589464.0,False,True
59,Daft Punk,Digital Love,0.644,0.664,9.0,-8.398,0.0332,0.048,0.867,0.342,0.53,124.726,301373.0,30079390.0,115484456.0,False,True
60,Linkin Park,In the End,0.556,0.864,3.0,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,1487186392.0,1444841705.0,False,True
61,Linkin Park,Numb,0.496,0.863,9.0,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,185587.0,1928733776.0,1195213410.0,False,True
62,Linkin Park,What I've Done,0.623,0.93,5.0,-5.285,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205613.0,587927093.0,589294152.0,False,True
63,Linkin Park,Numb / Encore,0.687,0.793,2.0,-4.254,0.166,0.0603,0.0,0.582,0.751,107.045,205733.0,44436981.0,778880225.0,False,True
64,Linkin Park,One Step Closer,0.492,0.969,9.0,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,157333.0,154808291.0,447287242.0,False,True
65,Linkin Park,Faint,0.554,0.978,4.0,-3.554,0.131,0.111,0.0,0.0731,0.594,135.095,162600.0,378323695.0,413355749.0,False,True
66,Linkin Park,Bleed It Out,0.529,0.967,1.0,-3.647,0.0508,0.114,0.0,0.61,0.596,140.127,166373.0,135176149.0,388331061.0,False,True
67,Linkin Park,Papercut,0.524,0.939,9.0,-3.994,0.113,0.00022,0.0,0.623,0.661,150.184,184867.0,240834555.0,345142662.0,False,True
68,Linkin Park,Crawling,0.58,0.702,4.0,-5.565,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,208960.0,374506972.0,391929621.0,False,True
69,Linkin Park,BURN IT DOWN,0.585,0.972,9.0,-4.45,0.0534,0.0143,0.0,0.0707,0.585,110.006,230253.0,353135986.0,368132993.0,False,True
70,Radiohead,Creep,0.515,0.43,7.0,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640.0,763497849.0,1101854725.0,False,True
71,Radiohead,No Surprises,0.255,0.393,5.0,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,229120.0,167847274.0,379349681.0,False,True
72,Radiohead,Karma Police,0.36,0.501,7.0,-9.129,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,264067.0,89246405.0,382823305.0,False,True
73,Radiohead,High and Dry,0.419,0.383,4.0,-11.782,0.0256,0.0724,0.0176,0.0896,0.35,87.568,257480.0,80290.0,291096318.0,False,True
74,Radiohead,Exit Music (For A Film),0.293,0.276,4.0,-11.357,0.0349,0.224,0.122,0.167,0.195,121.603,267187.0,10644157.0,146857863.0,False,True
75,Radiohead,Weird Fishes/ Arpeggi,0.531,0.61,11.0,-8.025,0.0387,0.772,0.756,0.0908,0.199,152.958,318187.0,15335499.0,121688699.0,False,True
76,Radiohead,Jigsaw Falling Into Place,0.462,0.832,11.0,-6.085,0.0479,0.108,0.00416,0.0741,0.807,165.653,248893.0,26398730.0,79367881.0,False,True
77,Radiohead,Fake Plastic Trees,0.463,0.229,2.0,-12.592,0.0297,0.167,0.0997,0.202,0.135,73.543,290707.0,61340263.0,219867047.0,False,True
78,Radiohead,Just,0.291,0.767,7.0,-6.913,0.0862,0.000401,0.012,0.0763,0.359,175.702,234800.0,15041854.0,88945336.0,False,True
79,Radiohead,Nude,0.516,0.342,4.0,-9.785,0.0342,0.832,0.579,0.0857,0.167,128.378,255387.0,12205514.0,86388469.0,False,True
80,AC/DC,Highway to Hell,0.574,0.913,6.0,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208400.0,274830901.0,1143164505.0,False,True
81,AC/DC,Thunderstruck,0.502,0.89,4.0,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880.0,1224226060.0,1088388556.0,False,True
82,AC/DC,Back In Black,0.31,0.7,9.0,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493.0,915158054.0,1182379398.0,False,True
83,AC/DC,You Shook Me All Night Long,0.532,0.767,7.0,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173.0,279117834.0,802076123.0,False,True
84,AC/DC,T.N.T.,0.754,0.759,9.0,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,214667.0,240908491.0,526521070.0,False,True
85,AC/DC,Hells Bells,0.389,0.873,4.0,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293.0,252038354.0,296521772.0,False,True
86,AC/DC,Dirty Deeds Done Dirt Cheap,0.668,0.906,11.0,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,231933.0,852728.0,269837425.0,False,True
87,AC/DC,Shoot to Thrill,0.457,0.904,2.0,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038,317427.0,172293392.0,292026041.0,False,True
88,AC/DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),0.456,0.863,3.0,-3.551,0.0894,0.133,0.0538,0.0553,0.532,135.962,301227.0,102527.0,196347993.0,False,True
89,AC/DC,Rock N Roll Train,0.547,0.931,2.0,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4,261507.0,18237531.0,144143014.0,False,True
90,Black Eyed Peas,I Gotta Feeling,0.744,0.766,0.0,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.966,289133.0,638267058.0,1001227038.0,False,True
91,Black Eyed Peas,DON'T YOU WORRY,0.831,0.868,11.0,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,194438.0,144690551.0,162685755.0,False,True
92,Black Eyed Peas,Where Is The Love?,0.834,0.699,5.0,-3.222,0.178,0.111,0.0,0.131,0.809,94.086,272533.0,888076529.0,752091441.0,False,True
93,Black Eyed Peas,Just Can’t Get Enough,0.659,0.628,0.0,-8.685,0.179,0.186,0.0,0.105,0.262,94.05,219427.0,292211575.0,331578264.0,False,True
94,Black Eyed Peas,GIRL LIKE ME,0.965,0.485,2.0,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025,222523.0,662529115.0,453923193.0,False,True
95,Black Eyed Peas,Pump It,0.649,0.931,1.0,-3.15,0.181,0.0093,0.0,0.751,0.744,153.645,213067.0,755836314.0,492130246.0,False,True
96,Black Eyed Peas,Pump It Louder,0.66,0.942,4.0,-2.273,0.185,0.00789,1.76e-05,0.834,0.543,126.017,158571.0,2099141.0,27908495.0,False,True
97,Black Eyed Peas,Meet Me Halfway,0.798,0.629,11.0,-6.857,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,284373.0,458724349.0,363930118.0,False,True
98,Black Eyed Peas,RITMO (Bad Boys For Life),0.732,0.716,10.0,-6.968,0.0561,0.0295,0.000758,0.73,0.666,105.093,214855.0,1021503328.0,869795408.0,False,True
99,Black Eyed Peas,SIMPLY THE BEST,0.872,0.789,1.0,-6.047,0.132,0.203,2.39e-05,0.125,0.646,126.042,236190.0,43226385.0,18501860.0,False,True
100,Michael Jackson,Billie Jean,0.932,0.457,11.0,-9.62,0.0541,0.0173,0.0436,0.0414,0.884,117.002,294227.0,1300732161.0,1302677366.0,False,True
101,Michael Jackson,Chicago,0.608,0.756,7.0,-2.675,0.176,0.0784,0.0,0.187,0.55,176.086,245507.0,545655.0,103974637.0,False,True
102,Michael Jackson,Beat It,0.776,0.711,3.0,-9.03,0.0473,0.0242,0.000353,0.234,0.901,138.728,258400.0,905692299.0,826832314.0,False,True
103,Michael Jackson,Smooth Criminal - 2012 Remaster,0.853,0.981,8.0,-3.947,0.0751,0.247,0.468,0.306,0.595,118.193,257760.0,84652754.0,526030670.0,False,True
104,Michael Jackson,Rock with You - Single Version,0.808,0.535,1.0,-12.521,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220627.0,301845823.0,346137424.0,False,True
105,Michael Jackson,Don't Stop 'Til You Get Enough,0.878,0.821,11.0,-9.875,0.089,0.126,0.0461,0.183,0.947,118.881,365467.0,349102050.0,389644450.0,False,True
106,Michael Jackson,They Don't Care About Us,0.859,0.905,0.0,-5.539,0.129,0.205,0.00837,0.322,0.731,89.946,284160.0,978680025.0,256361972.0,False,True
107,Michael Jackson,Remember the Time,0.831,0.921,5.0,-2.383,0.0582,0.153,0.00224,0.305,0.795,108.002,239227.0,504057332.0,224254298.0,False,True
108,Michael Jackson,The Way You Make Me Feel - 2012 Remaster,0.877,0.854,1.0,-4.523,0.147,0.0544,5.5e-05,0.144,0.54,114.472,298120.0,436325398.0,349629692.0,False,True
109,Michael Jackson,Love Never Felt So Good,0.775,0.719,7.0,-6.212,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246027.0,343328494.0,280500270.0,False,True
110,P!nk,Just Give Me a Reason (feat. Nate Ruess),0.778,0.547,2.0,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,242733.0,1518313784.0,995490565.0,False,True
111,P!nk,Never Gonna Not Dance Again,0.668,0.802,5.0,-4.005,0.0917,0.0273,0.0,0.163,0.769,113.796,225789.0,10941241.0,34361626.0,False,True
112,P!nk,Raise Your Glass,0.7,0.709,7.0,-5.006,0.0838,0.0048,0.0,0.029,0.624,122.019,202960.0,237232986.0,502735560.0,False,True
113,P!nk,Try,0.674,0.628,2.0,-7.079,0.03,0.00144,0.0,0.0944,0.552,103.998,247907.0,534286492.0,476783121.0,False,True
114,P!nk,So What,0.534,0.87,11.0,-3.078,0.0425,0.000334,0.0,0.241,0.462,126.019,215160.0,432775314.0,471672024.0,False,True
115,P!nk,What About Us,0.491,0.588,1.0,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,269600.0,339837769.0,662431775.0,False,True
116,P!nk,Cover Me In Sunshine,0.473,0.592,5.0,-6.859,0.138,0.0528,0.0,0.131,0.292,159.7,138573.0,80575503.0,346097538.0,False,True
117,P!nk,TRUSTFALL,0.636,0.888,8.0,-3.889,0.0945,0.00162,0.000216,0.147,0.25,122.032,237200.0,3309247.0,2790105.0,False,True
118,P!nk,Who Knew,0.688,0.734,9.0,-4.569,0.0274,0.00462,0.0,0.0756,0.46,140.004,208493.0,168736063.0,219363750.0,False,True
119,P!nk,True Love (feat. Lily Allen),0.457,0.823,9.0,-4.76,0.311,0.00144,0.0,0.108,0.578,192.205,230733.0,149977268.0,170002964.0,False,True
120,Eminem,Mockingbird,0.637,0.678,0.0,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,250760.0,719661717.0,908006704.0,False,True
121,Eminem,Without Me,0.908,0.669,7.0,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,1590485349.0,1457351902.0,False,True
122,Eminem,The Real Slim Shady,0.949,0.661,5.0,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0,777507160.0,1232567233.0,False,True
123,Eminem,Superman,0.802,0.755,4.0,-3.138,0.0564,0.0215,0.0,0.295,0.58,130.027,350320.0,139257221.0,466021760.0,False,True
124,Eminem,Till I Collapse,0.548,0.847,1.0,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,297787.0,1931315.0,1548871694.0,False,True
125,Eminem,Stan,0.78,0.768,6.0,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107.0,623027280.0,799979337.0,False,True
126,Eminem,Love The Way You Lie,0.749,0.925,10.0,-5.034,0.227,0.241,0.0,0.52,0.641,86.989,263373.0,2539156924.0,1115478746.0,False,True
127,Eminem,Godzilla (feat. Juice WRLD),0.808,0.745,10.0,-5.26,0.342,0.145,0.0,0.292,0.829,165.995,210800.0,547039623.0,1072650382.0,False,True
128,Eminem,Sing For The Moment,0.668,0.824,5.0,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339547.0,454015875.0,357737050.0,False,True
129,Eminem,Not Afraid,0.855,0.954,0.0,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,248133.0,1727241246.0,789922926.0,False,True
130,Pharrell Williams,"Happy - From ""Despicable Me 2""",0.647,0.822,5.0,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,232720.0,128396799.0,1143833476.0,False,True
131,Pharrell Williams,Down In Atlanta,0.851,0.819,7.0,-5.173,0.212,0.337,0.000153,0.0658,0.903,83.154,164041.0,3658044.0,42006396.0,False,True
132,Pharrell Williams,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",0.893,0.745,11.0,-3.105,0.0571,0.0642,0.0,0.0943,0.872,101.018,223413.0,673495248.0,981287133.0,False,True
133,Pharrell Williams,Cash In Cash Out,0.877,0.56,7.0,-3.751,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,216136.0,20392451.0,104603335.0,False,True
134,Pharrell Williams,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",0.81,0.733,9.0,-6.338,0.0444,0.276,6.73e-06,0.288,0.9,125.975,229283.0,26641550.0,99934776.0,False,True
135,Pharrell Williams,Hit Different,0.679,0.516,0.0,-6.371,0.0452,0.199,0.0,0.0965,0.716,120.074,202008.0,121559320.0,198332490.0,False,True
136,Pharrell Williams,Neon Guts (feat. Pharrell Williams),0.859,0.563,1.0,-6.635,0.112,0.0541,0.0,0.0685,0.412,119.934,258789.0,35793144.0,219355874.0,False,True
137,Pharrell Williams,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),0.827,0.571,11.0,-7.949,0.366,0.0195,0.0,0.166,0.62,142.034,146419.0,11408003.0,99577335.0,False,True
138,Pharrell Williams,Just A Cloud Away,0.89,0.46,2.0,-8.155,0.0359,0.432,0.0,0.11,0.677,112.555,176078.0,2672481.0,105629259.0,False,True
139,Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,0.894,0.404,9.0,-5.913,0.13,0.453,1.57e-06,0.0801,0.759,102.009,236507.0,59095041.0,114177468.0,False,True
140,Khalid,lovely (with Khalid),0.351,0.296,4.0,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,1721382178.0,2110573779.0,False,True
141,Khalid,Numb,0.912,0.774,0.0,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,155589.0,25212794.0,203066841.0,False,True
142,Khalid,Silence,0.52,0.761,4.0,-3.093,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823.0,129183587.0,1322057199.0,False,True
143,Khalid,Young Dumb & Broke,0.799,0.539,1.0,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547.0,886349984.0,1290687019.0,False,True
144,Khalid,Eastside (with Halsey & Khalid),0.632,0.686,6.0,-7.665,0.243,0.549,0.0,0.2,0.329,89.949,170770.0,632400004.0,1424962511.0,False,True
145,Khalid,Better,0.596,0.552,0.0,-10.278,0.097,0.0765,0.334,0.104,0.112,97.949,229320.0,860718114.0,1143264716.0,False,True
146,Khalid,Location,0.736,0.449,1.0,-11.462,0.425,0.33,0.000162,0.0898,0.326,80.126,219080.0,544666810.0,1221083395.0,False,True
147,Khalid,8TEEN,0.83,0.585,1.0,-5.802,0.0366,0.225,0.00209,0.0576,0.642,105.03,228600.0,1381628.0,586480399.0,False,True
148,Khalid,Beautiful People (feat. Khalid),0.64,0.647,5.0,-8.114,0.186,0.124,0.0,0.0801,0.546,92.979,197867.0,353454004.0,1241240312.0,False,True
149,Khalid,Love Lies (with Normani),0.708,0.648,6.0,-5.626,0.0449,0.0956,0.0,0.134,0.338,143.955,201707.0,243497172.0,843423744.0,False,True
150,Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",0.778,0.632,2.0,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,218289.0,252068988.0,196761853.0,False,True
151,Shakira,Monotonía,0.873,0.695,0.0,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,158805.0,189132077.0,220692224.0,False,True
152,Shakira,Te Felicito,0.695,0.636,5.0,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,172235.0,460717876.0,473003231.0,False,True
153,Shakira,Hips Don't Lie (feat. Wyclef Jean),0.778,0.824,10.0,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,218093.0,1214508056.0,1164605089.0,False,True
154,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),0.758,0.871,2.0,-6.408,0.147,0.0062,0.0,0.0663,0.753,126.994,202627.0,3463816330.0,629918488.0,False,True
155,Shakira,DON'T YOU WORRY,0.831,0.868,11.0,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,194438.0,144690551.0,162685755.0,False,True
156,Shakira,Dia de Enero,0.687,0.361,10.0,-11.589,0.0792,0.35,1.11e-05,0.11,0.526,165.747,173133.0,151765834.0,138360843.0,False,True
157,Shakira,Chantaje (feat. Maluma),0.852,0.773,8.0,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840.0,2805793003.0,859799057.0,False,True
158,Shakira,Inevitable,0.595,0.461,6.0,-7.786,0.0641,0.269,0.000149,0.123,0.338,91.976,192867.0,135287306.0,220084336.0,False,True
159,Shakira,Antologia,0.839,0.403,0.0,-11.059,0.0308,0.5,1.81e-06,0.0786,0.575,97.967,254240.0,359765.0,229134152.0,False,True
160,Machine Gun Kelly,my ex's best friend (with blackbear),0.731,0.675,5.0,-5.134,0.0434,0.00473,0.0,0.141,0.298,124.939,139461.0,102439463.0,574531280.0,False,True
161,Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),0.628,0.744,7.0,-4.718,0.0379,0.0257,0.0,0.313,0.277,119.921,169397.0,111974897.0,426759364.0,False,True
162,Machine Gun Kelly,maybe (feat. Bring Me The Horizon),0.601,0.92,5.0,-4.802,0.0505,0.000735,0.0,0.0998,0.537,88.014,170134.0,20170299.0,90825980.0,False,True
163,Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",0.653,0.718,3.0,-5.232,0.213,0.00413,0.0,0.0537,0.216,82.034,202805.0,206242355.0,382579404.0,False,True
164,Machine Gun Kelly,forget me too (feat. Halsey),0.654,0.875,1.0,-4.845,0.0744,0.000417,0.0086,0.194,0.522,99.975,171621.0,68116200.0,254290993.0,False,True
165,Machine Gun Kelly,bloody valentine,0.533,0.858,2.0,-4.212,0.0766,0.00021,0.0,0.148,0.506,160.057,205159.0,117833946.0,280845476.0,False,True
166,Machine Gun Kelly,Bad Things (with Camila Cabello),0.697,0.691,2.0,-4.757,0.146,0.214,0.0,0.185,0.305,137.853,239293.0,449712619.0,615784555.0,False,True
167,Machine Gun Kelly,make up sex (feat. blackbear),0.665,0.678,5.0,-4.122,0.0315,0.00156,0.0,0.474,0.682,131.986,122570.0,15391210.0,67878913.0,False,True
168,Machine Gun Kelly,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",0.721,0.632,5.0,-6.695,0.0358,0.0693,0.0,0.291,0.296,92.057,144860.0,35856519.0,212221697.0,False,True
169,Machine Gun Kelly,ay! (feat. Lil Wayne),0.742,0.617,2.0,-6.689,0.0345,0.05,5.92e-05,0.0711,0.491,147.002,124188.0,19671018.0,62736773.0,False,True
